路径ID,路径描述,间接效应均值,间接效应HDI下限,间接效应HDI上限,间接效应标准差,直接效应均值,直接效应HDI下限,直接效应HDI上限,直接效应标准差,总效应均值,总效应HDI下限,总效应HDI上限,总效应标准差,中介比例,中介比例百分比,主要影响类型,影响强度,间接效应方向,直接效应方向,中介类型,显著性概率,是否显著,正向效应概率,负向效应概率,结论
70,检验_总蛋白 → 疾病_高血压 → 药物_碳酸钙片,0.0532,-0.0743,0.2048,0.0709,-0.1886,-0.4708,0.1267,0.1603,-0.1354,-0.4181,0.1375,0.1442,-0.4114,-41.1,直接影响,强,正向中介,负向直接效应,部分中介,0.7945,否,0.7945,0.2055,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-41.1%。
71,检验_总蛋白 → 疾病_高血压 → 药物_苯磺酸氨氯地平片,0.0717,-0.0517,0.2023,0.0684,0.2359,-0.0642,0.5148,0.1558,0.3075,0.0304,0.5566,0.1415,0.2945,29.4,直接影响,强,正向中介,正向直接效应,部分中介,0.8745,否,0.8745,0.1255,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为29.4%。
72,检验_总蛋白 → 检验_氯 → 检验_钠,0.1408,0.0103,0.2935,0.0789,-0.1882,-0.4482,0.0905,0.1421,-0.0474,-0.3155,0.2221,0.1467,0.086,8.6,直接影响,强,正向中介,负向直接效应,弱中介,0.986,是,0.986,0.014,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为8.6%。
73,检验_总蛋白 → 检验_氯 → 检验_葡萄糖,-0.0579,-0.1773,0.0297,0.0554,0.1309,-0.1522,0.4119,0.1499,0.073,-0.2139,0.3314,0.1438,-0.4433,-44.3,直接影响,强,负向中介,正向直接效应,部分中介,0.887,否,0.113,0.887,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-44.3%。
74,检验_总蛋白 → 检验_氯 → 药物_肝素钠注射液,0.0869,-0.01,0.214,0.0617,0.1169,-0.1554,0.3985,0.1475,0.2038,-0.045,0.489,0.1452,-0.4791,-47.9,直接影响,强,正向中介,正向直接效应,部分中介,0.96,是,0.96,0.04,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为-47.9%。
75,检验_碳酸氢盐 → 检验_总蛋白 → 疾病_动脉硬化,-0.0063,-0.0565,0.0396,0.0253,0.1125,-0.1576,0.4154,0.1508,0.1062,-0.1884,0.3794,0.1508,0.1467,14.7,直接影响,强,负向中介,正向直接效应,弱中介,0.6,否,0.4,0.6,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为14.7%。
76,检验_碳酸氢盐 → 检验_总蛋白 → 药物_苯磺酸氨氯地平片,-0.025,-0.1231,0.0545,0.0468,-0.0933,-0.36,0.1727,0.1402,-0.1183,-0.4047,0.1512,0.1464,-0.0323,-3.2,直接影响,强,负向中介,负向直接效应,弱中介,0.729,否,0.271,0.729,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-3.2%。
77,检验_碳酸氢盐 → 检验_总蛋白 → 疾病_高血压,-0.0399,-0.1677,0.072,0.0648,0.2492,-0.0116,0.4937,0.1341,0.2094,-0.0704,0.4838,0.1477,-0.6402,-64.0,直接影响,强,负向中介,正向直接效应,部分中介,0.743,否,0.257,0.743,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-64.0%。
78,检验_碳酸氢盐 → 检验_总蛋白 → 检验_氯,-0.0262,-0.1231,0.067,0.0504,0.2611,-0.011,0.5182,0.1375,0.2349,-0.0411,0.5082,0.146,0.1393,13.9,直接影响,强,负向中介,正向直接效应,弱中介,0.7115,否,0.2885,0.7115,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为13.9%。
79,检验_碳酸氢盐 → 检验_尿酸 → 检验_镁,0.1045,-0.0031,0.24,0.068,0.1301,-0.1293,0.4158,0.1467,0.2347,-0.0215,0.5133,0.1448,-0.1109,-11.1,直接影响,强,正向中介,正向直接效应,弱中介,0.974,是,0.974,0.026,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为-11.1%。
80,检验_碳酸氢盐 → 检验_尿酸 → 检验_磷,0.1512,0.0084,0.2956,0.081,-0.2965,-0.5672,-0.033,0.1406,-0.1453,-0.4198,0.1203,0.1447,-0.4553,-45.5,直接影响,强,正向中介,负向直接效应,部分中介,0.99,是,0.99,0.01,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为-45.5%。
81,检验_碳酸氢盐 → 检验_尿酸 → 药物_硫酸氢氯吡格雷片,0.0913,-0.021,0.2193,0.0663,0.0197,-0.2721,0.3104,0.1566,0.111,-0.1546,0.4024,0.1519,-9.0814,-908.1,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.952,是,0.952,0.048,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为-908.1%。
82,检验_碳酸氢盐 → 检验_尿酸 → 疾病_混合痔,-0.1229,-0.2556,0.0017,0.072,-0.1011,-0.3566,0.1764,0.1458,-0.224,-0.5109,0.0371,0.1453,0.5158,51.6,间接影响（中介效应）,强,负向中介,负向直接效应,部分中介,0.9855,是,0.0145,0.9855,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为51.6%。
83,检验_碳酸氢盐 → 检验_磷 → 药物_碳酸钙片,-0.0589,-0.1812,0.0519,0.0634,0.1728,-0.0838,0.4287,0.1397,0.1138,-0.1701,0.3843,0.1492,-1.4913,-149.1,直接影响,强,负向中介,正向直接效应,完全中介,0.8565,否,0.1435,0.8565,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-149.1%。
84,药物_阿卡波糖片 → 疾病_高血压 → 检验_总蛋白,0.1647,0.018,0.3087,0.0834,-0.0357,-0.2995,0.2347,0.145,0.129,-0.1346,0.4231,0.1483,2.1817,218.2,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,0.995,是,0.995,0.005,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为218.2%。
85,药物_阿卡波糖片 → 疾病_高血压 → 检验_钾,0.1106,-0.0087,0.247,0.0711,0.1171,-0.1541,0.4145,0.1489,0.2277,-0.0257,0.5063,0.1406,0.0279,2.8,直接影响,强,正向中介,正向直接效应,弱中介,0.9655,是,0.9655,0.0345,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为2.8%。
86,药物_阿卡波糖片 → 疾病_高血压 → 药物_阿司匹林肠溶片,-0.0264,-0.1575,0.0889,0.0637,0.3268,0.0381,0.6038,0.153,0.3004,0.0376,0.5597,0.1417,-0.2105,-21.0,直接影响,强,负向中介,正向直接效应,部分中介,0.6795,否,0.3205,0.6795,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-21.0%。
87,药物_阿卡波糖片 → 疾病_高血压 → 检验_碳酸氢盐,0.0994,-0.0307,0.2352,0.0716,-0.1068,-0.422,0.1753,0.1605,-0.0073,-0.3009,0.2549,0.1493,-0.0663,-6.6,直接影响,强,正向中介,负向直接效应,弱中介,0.944,否,0.944,0.056,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-6.6%。
88,药物_阿卡波糖片 → 疾病_高血压 → 药物_碳酸钙片,0.0352,-0.0874,0.1612,0.0637,-0.092,-0.3819,0.2127,0.1597,-0.0568,-0.3365,0.216,0.1505,5.7721,577.2,直接影响,强,正向中介,负向直接效应,完全中介,0.727,否,0.727,0.273,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为577.2%。
89,药物_阿卡波糖片 → 疾病_高血压 → 药物_苯磺酸氨氯地平片,0.1291,-0.0055,0.2747,0.0765,-0.1872,-0.4696,0.1199,0.1563,-0.0581,-0.3423,0.2129,0.149,-1.1342,-113.4,直接影响,强,正向中介,负向直接效应,完全中介,0.98,是,0.98,0.02,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为完全中介，中介比例为-113.4%。
90,疾病_混合痔 → 疾病_高脂血症 → 疾病_反流性食管炎,-0.1349,-0.2686,-0.0112,0.0731,-0.1411,-0.387,0.1327,0.1379,-0.276,-0.5282,-0.0212,0.1377,0.5978,59.8,直接影响,强,负向中介,负向直接效应,部分中介,0.9905,是,0.0095,0.9905,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为59.8%。
91,疾病_混合痔 → 疾病_高脂血症 → 药物_阿托伐他汀钙片,-0.1663,-0.3293,-0.0358,0.0806,-0.0581,-0.3115,0.203,0.1365,-0.2243,-0.5078,0.0337,0.1434,1.2532,125.3,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.996,是,0.004,0.996,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为125.3%。
92,疾病_混合痔 → 疾病_高脂血症 → 疾病_动脉硬化,-0.1387,-0.2742,0.0029,0.0769,-0.1032,-0.371,0.1526,0.1419,-0.2419,-0.5008,0.0448,0.1448,0.1872,18.7,间接影响（中介效应）,强,负向中介,负向直接效应,弱中介,0.991,是,0.009,0.991,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为弱中介，中介比例为18.7%。
93,疾病_混合痔 → 疾病_高脂血症 → 药物_阿司匹林肠溶片,-0.062,-0.187,0.0343,0.0599,-0.1631,-0.4764,0.0998,0.1524,-0.2252,-0.5051,0.0388,0.1453,0.3596,36.0,直接影响,强,负向中介,负向直接效应,部分中介,0.8755,否,0.1245,0.8755,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为36.0%。
94,疾病_混合痔 → 检验_尿酸 → 检验_碳酸氢盐,-0.1157,-0.2587,0.0034,0.0716,-0.1026,-0.3858,0.1777,0.1486,-0.2183,-0.4933,0.06,0.1459,0.5721,57.2,间接影响（中介效应）,强,负向中介,负向直接效应,部分中介,0.975,是,0.025,0.975,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为57.2%。
95,疾病_混合痔 → 检验_尿酸 → 检验_镁,-0.1348,-0.286,-0.0141,0.0755,-0.0028,-0.2818,0.2762,0.1511,-0.1376,-0.4223,0.137,0.1486,1.8076,180.8,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.9855,是,0.0145,0.9855,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为180.8%。
96,疾病_混合痔 → 检验_尿酸 → 检验_磷,-0.1348,-0.286,-0.0141,0.0755,-0.0028,-0.2818,0.2762,0.1511,-0.1376,-0.4223,0.137,0.1486,1.8076,180.8,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.9855,是,0.0145,0.9855,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为180.8%。
97,疾病_混合痔 → 检验_尿酸 → 药物_硫酸氢氯吡格雷片,-0.1075,-0.2472,0.0134,0.0729,-0.0073,-0.299,0.2667,0.1516,-0.1148,-0.3736,0.1678,0.1458,-0.1462,-14.6,间接影响（中介效应）,强,负向中介,负向直接效应,弱中介,0.9645,是,0.0355,0.9645,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为弱中介，中介比例为-14.6%。
98,疾病_混合痔 → 检验_葡萄糖 → 疾病_糖尿病,-0.1631,-0.2986,-0.0181,0.0794,-0.0843,-0.3341,0.1782,0.1366,-0.2474,-0.5176,0.0277,0.1459,0.6823,68.2,间接影响（中介效应）,强,负向中介,负向直接效应,部分中介,0.9945,是,0.0055,0.9945,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为68.2%。
99,疾病_混合痔 → 检验_葡萄糖 → 疾病_冠状动脉粥样硬化性心脏病,0.0837,-0.0223,0.2089,0.0637,-0.1162,-0.3959,0.1789,0.1533,-0.0326,-0.3177,0.2441,0.1477,-0.7167,-71.7,直接影响,强,正向中介,负向直接效应,部分中介,0.9405,否,0.9405,0.0595,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-71.7%。
100,检验_葡萄糖 → 疾病_混合痔 → 疾病_高脂血症,0.1188,0.0077,0.2604,0.0704,0.0539,-0.2554,0.2953,0.1459,0.1727,-0.1058,0.4522,0.1476,0.9805,98.0,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.9855,是,0.9855,0.0145,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为98.0%。
101,检验_葡萄糖 → 疾病_混合痔 → 检验_尿酸,0.1277,0.0087,0.2675,0.0738,0.085,-0.1715,0.3776,0.1445,0.2127,-0.0541,0.5133,0.1491,0.751,75.1,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,0.99,是,0.99,0.01,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为75.1%。
102,检验_葡萄糖 → 疾病_糖尿病 → 疾病_高尿酸血症,0.2397,0.0765,0.425,0.0951,-0.0607,-0.3409,0.2243,0.1536,0.179,-0.0752,0.4647,0.1446,0.3272,32.7,间接影响（中介效应）,强,正向中介,负向直接效应,部分中介,0.999,是,0.999,0.001,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为32.7%。
103,检验_葡萄糖 → 疾病_糖尿病 → 药物_盐酸羟考酮缓释片,0.18,0.0152,0.3529,0.0914,-0.0799,-0.379,0.2256,0.1608,0.1,-0.164,0.3815,0.1466,-3.2814,-328.1,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,0.987,是,0.987,0.013,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为-328.1%。
104,检验_葡萄糖 → 疾病_糖尿病 → 药物_阿卡波糖片,0.2095,0.0407,0.3846,0.0908,0.0964,-0.2005,0.3752,0.1508,0.3059,0.0383,0.5678,0.1385,0.9404,94.0,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.999,是,0.999,0.001,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为94.0%。
105,检验_葡萄糖 → 疾病_糖尿病 → 药物_阿司匹林肠溶片,0.2111,0.0538,0.3769,0.0899,0.177,-0.0818,0.4727,0.1454,0.3881,0.1406,0.6555,0.1362,0.8121,81.2,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.9985,是,0.9985,0.0015,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为81.2%。
106,药物_阿司匹林肠溶片 → 疾病_糖尿病 → 疾病_高尿酸血症,0.1771,0.0265,0.3566,0.0894,0.1997,-0.0839,0.511,0.1558,0.3767,0.1324,0.6548,0.1385,0.4935,49.3,直接影响,强,正向中介,正向直接效应,部分中介,0.9865,是,0.9865,0.0135,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为49.3%。
107,药物_阿司匹林肠溶片 → 疾病_糖尿病 → 药物_盐酸羟考酮缓释片,0.2523,0.0662,0.4457,0.103,-0.3318,-0.6487,-0.0431,0.1576,-0.0795,-0.352,0.2094,0.1482,-0.1501,-15.0,直接影响,强,正向中介,负向直接效应,弱中介,0.998,是,0.998,0.002,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为-15.0%。
108,药物_阿司匹林肠溶片 → 疾病_糖尿病 → 药物_阿卡波糖片,0.2161,0.0521,0.4096,0.0966,0.0867,-0.1847,0.3866,0.1495,0.3028,0.0599,0.5768,0.14,1.242,124.2,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.995,是,0.995,0.005,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为124.2%。
109,药物_阿司匹林肠溶片 → 疾病_糖尿病 → 检验_葡萄糖,0.2081,0.0508,0.379,0.0897,0.1751,-0.0962,0.4445,0.1469,0.3832,0.1156,0.6265,0.1357,0.6127,61.3,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,0.9965,是,0.9965,0.0035,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为61.3%。
110,药物_氯化钠注射液 → 检验_谷草/谷丙 → 检验_钾,-0.0226,-0.1046,0.0363,0.0379,-0.0543,-0.34,0.2118,0.1474,-0.0768,-0.3769,0.1915,0.1517,0.2772,27.7,直接影响,强,负向中介,负向直接效应,部分中介,0.746,否,0.254,0.746,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为27.7%。
111,药物_氯化钠注射液 → 检验_谷草/谷丙 → 药物_艾司唑仑片,-0.005,-0.0636,0.0478,0.0279,-0.1107,-0.3867,0.1583,0.1479,-0.1157,-0.3889,0.1661,0.1487,-0.2521,-25.2,直接影响,强,负向中介,负向直接效应,部分中介,0.591,否,0.409,0.591,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-25.2%。
112,药物_氯化钠注射液 → 检验_谷草/谷丙 → 疾病_糖尿病,0.0249,-0.042,0.1073,0.0398,-0.2305,-0.4854,0.0357,0.142,-0.2056,-0.4888,0.0628,0.1465,0.0109,1.1,直接影响,强,正向中介,负向直接效应,弱中介,0.7435,否,0.7435,0.2565,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为1.1%。
113,药物_氯化钠注射液 → 检验_谷草/谷丙 → 药物_硫酸氢氯吡格雷片,0.0295,-0.0477,0.114,0.0429,-0.0941,-0.371,0.1675,0.1467,-0.0646,-0.3436,0.214,0.1511,-0.6496,-65.0,直接影响,强,正向中介,负向直接效应,部分中介,0.7755,否,0.7755,0.2245,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-65.0%。
114,药物_肝素钠注射液 → 药物_氯化钠注射液 → 检验_谷草/谷丙,-0.089,-0.2292,0.042,0.0722,0.2036,-0.1127,0.4731,0.159,0.1147,-0.153,0.3877,0.1492,0.3432,34.3,直接影响,强,负向中介,正向直接效应,部分中介,0.9145,否,0.0855,0.9145,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为34.3%。
